usuario,password,rol
CzxOlwVwA,3HGqR85KyU,empleado
ZdZvKFz,6XzmQMT0NSxa,admin
CtYddht,9KlS6P1Yz,manager
ADmKzsRyEX,rl2z1qL3,manager
EIQhB,68O4fQ2ciPj,admin
ntnrQEKCa,j8SScW4h9u,manager
kbtrzT,ju8BS548NN,manager
rynVpha,8268f4NVEvz5,manager
YpvTMGDQ,a15qTCeN8RQU,empleado
bviBCV,7kJhjJe1e5,manager
iTVHcND,lUH2tz28PuKY,manager
toMuvKj,5pVGablkD,admin
SUFsO,v3pOafw1507Y,manager
uriDsXv,6QwTQU0l,manager
jCTlUa,uzehE5I9KKZ,empleado
cCTHKDYXX,XLUwZR36d92,manager
JfYVCLafxh,AWZAb1BJ,empleado
zaAbF,v030sKyo3o,empleado
qistGU,IYF8m5K9w,empleado
TGIamf,7u9so637Dia,empleado
dstvy,Auv0qaQN2T,manager
XqSsThyyS,Wn2948P0x,manager
tbseDBM,rcTZIgY0eh,empleado
sEzPvalP,7Gaek1QMufXl,empleado
xzjdSNSJh,L1g7KwYXGP,manager
KiqQlhlLEJ,3nd0wb3J,admin
QGVpyPR,37vWqMPC,manager
QfXeXD,E87wuGwe,manager
QOTkq,HOiY2xXWJ,admin
HVAZMR,7qO5CjFk0,empleado
NohtnqU,UZEOul7pcT0,manager
NQvleKU,aB2i6dup,empleado
RlqQRV,7Vv1641S2,manager
Gprptqmok,j7zkRpJ26U,admin
CJQvXkLf,C3vjHW8Ig6,empleado
TBiWVg,z3wI968N4unH,manager
FEkOsjWR,fqwaKe672,admin
SRjiCHoy,9szS38982Bh,admin
oeOCmtShi,a9xpMJ3k,admin
KaFbmRSjo,eU9X6rnws,empleado
NUtgAdD,a85N366h524h,empleado
SnUug,z0m458qCMUP5,admin
SsHweM,7K9nInSti,admin
mZSBXBFKkZ,gP9FsC4c1,empleado
JlViyJiyLS,g1OB5RWpkYdh,manager
GEznq,6Cwbf1v5,manager
DrDuh,0FdAz14XyL5R,manager
YxmmREcD,30NQ1u77jaPD,admin
MuMIZIIqw,8i9tv7Q2q6,manager
mUKDCa,pprtCxeVLm70,empleado
XLIoJe,yq8nuX60Pd87,manager
gtpwGSn,3S4g82ot42o,admin
FTxlACFU,ufcSmHyPF,admin
vhJRJXgm,0jYwQ1i6sNlP,manager
CfBUIbd,YMKWG8Hs94,empleado
rxodAksbE,ZWzx9UYUG,empleado
GXSpiuN,g9p2tF0yKSu8,empleado
yFQOZ,Cf29NduQ4,manager
QtxUbwUt,6KJsCFxu5,empleado
nYNZSUMxZc,55QeoFm1gJ,empleado
OraOLCs,QxEp4v9v,admin
QzMtq,nv25Y201ZPzF,admin
aojLdDAfSj,9viNrroOM9KX,empleado
WLcUX,lwBlR5J42IN,empleado
sxGASvboH,f2s520xDB7cm,empleado
QSnOyzeF,116L4c1U,admin
Krfoj,gMk0k3ALF,empleado
WaBfphHU,a33AaL78El,admin
zzqof,enlibhtaQl2Y,admin
UMxOt,89YD0JBH,empleado
eJNFnDfZ,35JmRm2m,admin
jMyEagld,6uV8mvQs9,empleado
Ofzlxtb,jzYWksIREOwJ,admin
lJPkN,d6meyXy1fs,admin
TLGTLXhALw,Kxh6rFND,empleado
sHCxlsWHK,zga1fGrraBq,manager
tCEiGylVKp,iuKT2h386h,manager
ZBMnYALNSr,feCGnbx0KKm0,manager
PmcDJnQe,0fD2113O,empleado
OpWPdog,MT3w5zq6OT,empleado
ThzIZ,6WeZP144c7z,empleado
dlKMhHb,kc6XbL7fiuc,admin
MJikaKL,hwNS3dAT,manager
gPTrjl,4csJXVP9Vs4,manager
WsbUiSGQPE,x4rjG0qNdr,manager
gvREZcXGww,Czxp0Avc3N9,manager
GVjqeg,7K3rC50541XW,empleado
oDfEBgj,95bg1qz2m,admin
ceHcC,A0jho565sqxe,empleado
xJeOrwnFks,8ivKlwGg74TC,manager
TrOIGJIJw,7046UP5wp98,admin
KWviR,MI1f4qV4,admin
OcYKuKrjM,z682iZ5pmA,empleado
EMrklSFAru,aNI41axYdo4,admin
oOrbsV,GH8UOh0g2C,manager
fznrDoZq,leIbiu2k,manager
NiRgzIW,Zr8VGbgM2k7,empleado
EWzbSsnAdN,HHU9I95Y,admin
neNjISVnXc,n8ZMUK7qVK9W,admin
dXLPs,5bbnQdOYbX6,empleado
